ID,标签,物种,性别,年龄,数量
104,云猫,云猫,无法区分,无法区分,0
105,云猫雄性亚成体,云猫,雄性,亚成体,0
106,云猫雄性成体,云猫,雄性,成体,0
107,云猫雌性亚成体,云猫,雌性,亚成体,0
108,云猫雌性成体,云猫,雌性,成体,0
109,云豹成体,云豹,无法区分,成体,105
110,五纹松鼠成体,五纹松鼠,无法区分,成体,9
111,人成体,人,无法区分,成体,15
112,人雄性成体,人,雄性,成体,21
113,仙八色鸫亚成体,仙八色鸫,无法区分,亚成体,0
114,仙八色鸫幼体,仙八色鸫,无法区分,幼体,0
115,仙八色鸫成体,仙八色鸫,无法区分,成体,87
116,仙八色鸫,仙八色鸫,无法区分,无法区分,0
117,仙八色鸫雄性亚成体,仙八色鸫,雄性,亚成体,0
118,仙八色鸫雄性成体,仙八色鸫,雄性,成体,0
119,仙八色鸫雌性亚成体,仙八色鸫,雌性,亚成体,0
120,仙八色鸫雌性成体,仙八色鸫,雌性,成体,0
121,仙锦大蚊,仙锦大蚊,无法区分,无法区分,3
122,侧纹岩松鼠亚成体,侧纹岩松鼠,无法区分,亚成体,9
123,侧纹岩松鼠成体,侧纹岩松鼠,无法区分,成体,2955
124,侧纹岩松鼠,侧纹岩松鼠,无法区分,无法区分,21
125,侧纹岩松鼠雄性成体,侧纹岩松鼠,雄性,成体,3
126,侧纹岩松鼠雌性,侧纹岩松鼠,雌性,无法区分,6
127,倭花鼠亚成体,倭花鼠,无法区分,亚成体,9
128,倭花鼠幼体,倭花鼠,无法区分,幼体,0
129,倭花鼠成体,倭花鼠,无法区分,成体,1107
130,倭花鼠,倭花鼠,无法区分,无法区分,24
131,倭花鼠雄性亚成体,倭花鼠,雄性,亚成体,0
132,倭花鼠雄性成体,倭花鼠,雄性,成体,9
133,倭花鼠雌性亚成体,倭花鼠,雌性,亚成体,0
134,倭花鼠雌性成体,倭花鼠,雌性,成体,0
135,兔狲亚成体,兔狲,无法区分,亚成体,0
136,兔狲幼体,兔狲,无法区分,幼体,0
137,兔狲成体,兔狲,无法区分,成体,144
138,兔狲,兔狲,无法区分,无法区分,0
139,兔狲雄性亚成体,兔狲,雄性,亚成体,0
140,兔狲雄性成体,兔狲,雄性,成体,6
141,兔狲雌性亚成体,兔狲,雌性,亚成体,0
142,兔狲雌性成体,兔狲,雌性,成体,0
143,凤头雀嘴鹎成体,凤头雀嘴鹎,无法区分,成体,306
144,凤头鹀成体,凤头鹀,无法区分,成体,33
145,凤头鹀雄性成体,凤头鹀,雄性,成体,12
146,凤头鹰亚成体,凤头鹰,无法区分,亚成体,9
147,凤头鹰成体,凤头鹰,无法区分,成体,195
148,凤头鹰,凤头鹰,无法区分,无法区分,114
149,凤头鹰雌性成体,凤头鹰,雌性,成体,18
150,刺猬亚成体,刺猬,无法区分,亚成体,0
151,刺猬幼体,刺猬,无法区分,幼体,0
152,刺猬成体,刺猬,无法区分,成体,759
153,刺猬,刺猬,无法区分,无法区分,30
154,刺猬雄性亚成体,刺猬,雄性,亚成体,0
155,刺猬雄性成体,刺猬,雄性,成体,0
156,刺猬雌性亚成体,刺猬,雌性,亚成体,0
157,刺猬雌性成体,刺猬,雌性,成体,0
158,勐海胡颓子成体,勐海胡颓子,无法区分,成体,9
159,勺鸡亚成体,勺鸡,无法区分,亚成体,12
160,勺鸡幼体,勺鸡,无法区分,幼体,24
161,勺鸡成体,勺鸡,无法区分,成体,345
162,勺鸡,勺鸡,无法区分,无法区分,162
163,勺鸡雄性亚成体,勺鸡,雄性,亚成体,6
