ID,标签,物种,性别,年龄,数量
47,侧纹岩松鼠成体,侧纹岩松鼠,无法区分,成体,2955
48,侧纹岩松鼠,侧纹岩松鼠,无法区分,无法区分,21
49,倭花鼠成体,倭花鼠,无法区分,成体,1107
50,倭花鼠,倭花鼠,无法区分,无法区分,24
51,兔狲成体,兔狲,无法区分,成体,144
52,凤头雀嘴鹎成体,凤头雀嘴鹎,无法区分,成体,306
53,凤头鹀成体,凤头鹀,无法区分,成体,33
54,凤头鹀雄性成体,凤头鹀,雄性,成体,12
55,凤头鹰成体,凤头鹰,无法区分,成体,195
56,凤头鹰,凤头鹰,无法区分,无法区分,114
57,凤头鹰雌性成体,凤头鹰,雌性,成体,18
58,刺猬成体,刺猬,无法区分,成体,759
59,刺猬,刺猬,无法区分,无法区分,30
60,勺鸡亚成体,勺鸡,无法区分,亚成体,12
61,勺鸡幼体,勺鸡,无法区分,幼体,24
62,勺鸡成体,勺鸡,无法区分,成体,345
63,勺鸡,勺鸡,无法区分,无法区分,162
64,勺鸡雄性成体,勺鸡,雄性,成体,2202
65,勺鸡雄性,勺鸡,雄性,无法区分,36
66,勺鸡雌性成体,勺鸡,雌性,成体,1491
67,勺鸡雌性,勺鸡,雌性,无法区分,33
68,北松鼠成体,北松鼠,无法区分,成体,135
69,北树鼩成体,北树鼩,无法区分,成体,378
70,北树鼩,北树鼩,无法区分,无法区分,177
71,北灰鹟成体,北灰鹟,无法区分,成体,93
72,北社鼠成体,北社鼠,无法区分,成体,705
73,北红尾鸲成体,北红尾鸲,无法区分,成体,54
74,北红尾鸲雄性成体,北红尾鸲,雄性,成体,177
75,北红尾鸲雌性成体,北红尾鸲,雌性,成体,90
76,北豚尾猴亚成体,北豚尾猴,无法区分,亚成体,33
77,北豚尾猴成体,北豚尾猴,无法区分,成体,369
78,北豚尾猴雄性亚成体,北豚尾猴,雄性,亚成体,21
79,北豚尾猴雄性成体,北豚尾猴,雄性,成体,48
80,北豚尾猴雌性成体,北豚尾猴,雌性,成体,63
81,华南兔成体,华南兔,无法区分,成体,3039
82,华南兔,华南兔,无法区分,无法区分,120
83,华南兔雌性成体,华南兔,雌性,成体,18
84,华南斑胸钩嘴鹛成体,华南斑胸钩嘴鹛,无法区分,成体,30
85,华南梅花鹿雌性成体,华南梅花鹿,雌性,成体,69
86,印度野牛成体,印度野牛,无法区分,成体,2934
87,印度野牛雄性成体,印度野牛,雄性,成体,120
88,印度野牛雌性成体,印度野牛,雌性,成体,21
89,印支灰叶猴成体,印支灰叶猴,无法区分,成体,45
90,原麝成体,原麝,无法区分,成体,96
91,原麝雄性成体,原麝,雄性,成体,45
92,原麝雌性成体,原麝,雌性,成体,54
93,双峰驼成体,双峰驼,无法区分,成体,561
94,双峰驼,双峰驼,无法区分,无法区分,78
95,发冠卷尾成体,发冠卷尾,无法区分,成体,93
96,发冠卷尾,发冠卷尾,无法区分,无法区分,33
97,喜山短翅鸫雌性成体,喜山短翅鸫,雌性,成体,15
98,喜马拉雅旱獭成体,喜马拉雅旱獭,无法区分,成体,444
99,喜马拉雅鬣羚成体,喜马拉雅鬣羚,无法区分,成体,75
100,喜鹊成体,喜鹊,无法区分,成体,411
101,四川山鹧鸪成体,四川山鹧鸪,无法区分,成体,96
102,四川梅花鹿雌性成体,四川梅花鹿,雌性,成体,12
103,四川淡背地鸫成体,四川淡背地鸫,无法区分,成体,501
104,四川羚牛成体,四川羚牛,无法区分,成体,1317
105,地山雀成体,地山雀,无法区分,成体,177
106,复齿鼯鼠成体,复齿鼯鼠,无法区分,成体,543
107,复齿鼯鼠,复齿鼯鼠,无法区分,无法区分,18
108,夜鹭亚成体,夜鹭,无法区分,亚成体,18
109,大仓鼠成体,大仓鼠,无法区分,成体,21
110,大仙鹟雄性成体,大仙鹟,雄性,成体,33
111,大仙鹟雌性成体,大仙鹟,雌性,成体,21
112,大嘴乌鸦成体,大嘴乌鸦,无法区分,成体,5778
113,大噪鹛成体,大噪鹛,无法区分,成体,198
114,大山雀成体,大山雀,无法区分,成体,390
115,大拟啄木鸟成体,大拟啄木鸟,无法区分,成体,42
116,大斑啄木鸟成体,大斑啄木鸟,无法区分,成体,198
117,大斑啄木鸟雄性成体,大斑啄木鸟,雄性,成体,33
118,大斑啄木鸟雌性成体,大斑啄木鸟,雌性,成体,42
119,大杜鹃成体,大杜鹃,无法区分,成体,18
120,大林姬鼠,大林姬鼠,无法区分,无法区分,1587
121,大灵猫成体,大灵猫,无法区分,成体,78
122,大熊猫成体,大熊猫,无法区分,成体,1623
123,大白鹭成体,大白鹭,无法区分,成体,15
124,大耳鼠兔成体,大耳鼠兔,无法区分,成体,12
125,大鵟成体,大鵟,无法区分,成体,54
126,大黄冠啄木鸟成体,大黄冠啄木鸟,无法区分,成体,27
127,宝兴歌鸫亚成体,宝兴歌鸫,无法区分,亚成体,30
128,宝兴歌鸫成体,宝兴歌鸫,无法区分,成体,2700
129,宝兴歌鸫,宝兴歌鸫,无法区分,无法区分,69
130,家牛亚成体,家牛,无法区分,亚成体,819
131,家牛幼体,家牛,无法区分,幼体,309
132,家牛成体,家牛,无法区分,成体,15579
133,家牛,家牛,无法区分,无法区分,6252
134,家牛雄性亚成体,家牛,雄性,亚成体,126
135,家牛雄性成体,家牛,雄性,成体,12006
136,家牛雄性,家牛,雄性,无法区分,48
137,家牛雌性亚成体,家牛,雌性,亚成体,333
138,家牛雌性成体,家牛,雌性,成体,2739
139,家牛雌性,家牛,雌性,无法区分,39
140,家牦牛亚成体,家牦牛,无法区分,亚成体,153
141,家牦牛幼体,家牦牛,无法区分,幼体,270
142,家牦牛成体,家牦牛,无法区分,成体,22668
143,家牦牛,家牦牛,无法区分,无法区分,69
144,家牦牛雄性成体,家牦牛,雄性,成体,891
145,家牦牛雌性成体,家牦牛,雌性,成体,285
146,家狗亚成体,家狗,无法区分,亚成体,60
147,家狗幼体,家狗,无法区分,幼体,21
148,家狗成体,家狗,无法区分,成体,5109
149,家狗,家狗,无法区分,无法区分,81
150,家狗雄性成体,家狗,雄性,成体,639
151,家狗雌性成体,家狗,雌性,成体,36
152,家猪亚成体,家猪,无法区分,亚成体,132
153,家猪成体,家猪,无法区分,成体,216
154,家猪,家猪,无法区分,无法区分,195
155,家猪雄性成体,家猪,雄性,成体,24
156,家猪雌性成体,家猪,雌性,成体,93
157,家猫成体,家猫,无法区分,成体,1272
158,家猫,家猫,无法区分,无法区分,303
159,家马亚成体,家马,无法区分,亚成体,222
160,家马幼体,家马,无法区分,幼体,93
161,家马成体,家马,无法区分,成体,6312
162,家马,家马,无法区分,无法区分,15
163,家马雄性成体,家马,雄性,成体,36
164,家马雌性成体,家马,雌性,成体,48
165,家骆驼成体,家骆驼,无法区分,成体,4623
166,家骆驼,家骆驼,无法区分,无法区分,903
167,家鸡成体,家鸡,无法区分,成体,51
168,家鸡雄性成体,家鸡,雄性,成体,33
169,家鸡雌性成体,家鸡,雌性,成体,24
170,家鸦成体,家鸦,无法区分,成体,24
171,家鸭成体,家鸭,无法区分,成体,21
172,小嘴乌鸦成体,小嘴乌鸦,无法区分,成体,2772
173,小嘴乌鸦,小嘴乌鸦,无法区分,无法区分,51
174,小嘴乌鸦雄性成体,小嘴乌鸦,雄性,成体,18
175,小家鼠成体,小家鼠,无法区分,成体,21
176,小泡巨鼠成体,小泡巨鼠,无法区分,成体,15
177,小灵猫成体,小灵猫,无法区分,成体,474
178,小熊猫成体,小熊猫,无法区分,成体,309
179,小虎斑地鸫成体,小虎斑地鸫,无法区分,成体,18
180,小麂亚成体,小麂,无法区分,亚成体,3291
181,小麂幼体,小麂,无法区分,幼体,2406
182,小麂成体,小麂,无法区分,成体,85800
183,小麂,小麂,无法区分,无法区分,10950
184,小麂雄性亚成体,小麂,雄性,亚成体,1620
185,小麂雄性成体,小麂,雄性,成体,94785
186,小麂雄性,小麂,雄性,无法区分,399
187,小麂雌性亚成体,小麂,雌性,亚成体,2085
188,小麂雌性成体,小麂,雌性,成体,139749
189,小麂雌性,小麂,雌性,无法区分,759
190,小黑领噪鹛成体,小黑领噪鹛,无法区分,成体,4533
191,小黑领噪鹛,小黑领噪鹛,无法区分,无法区分,225
192,小黑领噪鹛雄性成体,小黑领噪鹛,雄性,成体,393
193,小黑领噪鹛雌性成体,小黑领噪鹛,雌性,成体,48
194,山斑鸠成体,山斑鸠,无法区分,成体,7830
195,山斑鸠,山斑鸠,无法区分,无法区分,369
196,山斑鸠雄性成体,山斑鸠,雄性,成体,225
197,山斑鸠雌性成体,山斑鸠,雌性,成体,24
198,山羊亚成体,山羊,无法区分,亚成体,282
199,山羊幼体,山羊,无法区分,幼体,267
200,山羊成体,山羊,无法区分,成体,11565
201,山羊,山羊,无法区分,无法区分,2664
202,山羊雄性亚成体,山羊,雄性,亚成体,60
203,山羊雄性成体,山羊,雄性,成体,2313
204,山羊雄性,山羊,雄性,无法区分,21
205,山羊雌性亚成体,山羊,雌性,亚成体,69
206,山羊雌性成体,山羊,雌性,成体,1032
207,山羊雌性,山羊,雌性,无法区分,39
208,山蓝仙鹟幼体,山蓝仙鹟,无法区分,幼体,48
209,山蓝仙鹟成体,山蓝仙鹟,无法区分,成体,195
210,山蓝仙鹟雄性成体,山蓝仙鹟,雄性,成体,363
211,山蓝仙鹟雌性成体,山蓝仙鹟,雌性,成体,207
212,岩松鼠亚成体,岩松鼠,无法区分,亚成体,33
213,岩松鼠成体,岩松鼠,无法区分,成体,23070
214,岩松鼠,岩松鼠,无法区分,无法区分,5526
215,岩松鼠雄性成体,岩松鼠,雄性,成体,15
216,岩松鼠雌性成体,岩松鼠,雌性,成体,12
217,岩羊亚成体,岩羊,无法区分,亚成体,804
218,岩羊幼体,岩羊,无法区分,幼体,51
219,岩羊成体,岩羊,无法区分,成体,5412
220,岩羊,岩羊,无法区分,无法区分,51
221,岩羊雄性亚成体,岩羊,雄性,亚成体,15
222,岩羊雄性成体,岩羊,雄性,成体,720
223,岩羊雌性亚成体,岩羊,雌性,亚成体,105
224,岩羊雌性成体,岩羊,雌性,成体,819
225,川西鼠兔成体,川西鼠兔,无法区分,成体,1005
226,川金丝猴亚成体,川金丝猴,无法区分,亚成体,60
227,川金丝猴幼体,川金丝猴,无法区分,幼体,96
228,川金丝猴成体,川金丝猴,无法区分,成体,3639
229,川金丝猴,川金丝猴,无法区分,无法区分,249
230,川金丝猴雄性成体,川金丝猴,雄性,成体,294
231,川金丝猴雌性成体,川金丝猴,雌性,成体,39
232,川金丝猴雌性,川金丝猴,雌性,无法区分,21
233,巨松鼠成体,巨松鼠,无法区分,成体,162
234,巨松鼠,巨松鼠,无法区分,无法区分,90
235,帚尾豪猪成体,帚尾豪猪,无法区分,成体,2721
236,帚尾豪猪,帚尾豪猪,无法区分,无法区分,7845
237,帚尾豪猪雄性成体,帚尾豪猪,雄性,成体,12
238,戴胜成体,戴胜,无法区分,成体,105
239,斑嘴鸭成体,斑嘴鸭,无法区分,成体,12
240,斑头鸺鹠成体,斑头鸺鹠,无法区分,成体,24
241,斑头鸺鹠,斑头鸺鹠,无法区分,无法区分,12
242,斑林狸成体,斑林狸,无法区分,成体,477
243,斑林鸽成体,斑林鸽,无法区分,成体,45
244,斑灵猫成体,斑灵猫,无法区分,成体,30
245,斑背噪鹛成体,斑背噪鹛,无法区分,成体,1071
246,斑背噪鹛,斑背噪鹛,无法区分,无法区分,156
247,斑背燕尾成体,斑背燕尾,无法区分,成体,18
248,斑胸钩嘴鹛亚成体,斑胸钩嘴鹛,无法区分,亚成体,18
249,斑胸钩嘴鹛成体,斑胸钩嘴鹛,无法区分,成体,1965
250,斑鸫成体,斑鸫,无法区分,成体,2982
251,斑鸫,斑鸫,无法区分,无法区分,156
252,斑鸫雄性成体,斑鸫,雄性,成体,60
253,斑鸫雌性成体,斑鸫,雌性,成体,147
254,方尾鹟成体,方尾鹟,无法区分,成体,183
255,星头啄木鸟成体,星头啄木鸟,无法区分,成体,63
256,星鸦成体,星鸦,无法区分,成体,555
257,星鸦,星鸦,无法区分,无法区分,42
258,普通䴓成体,普通䴓,无法区分,成体,15
259,暗灰鹃鵙雄性成体,暗灰鹃鵙,雄性,成体,12
260,暗绿绣眼鸟成体,暗绿绣眼鸟,无法区分,成体,420
261,暗绿绣眼鸟,暗绿绣眼鸟,无法区分,无法区分,12
262,条纹松鼠成体,条纹松鼠,无法区分,成体,1734
263,松雀鹰成体,松雀鹰,无法区分,成体,108
264,松雀鹰,松雀鹰,无法区分,无法区分,12
265,松鸦成体,松鸦,无法区分,成体,6477
266,松鸦,松鸦,无法区分,无法区分,864
267,松鼠成体,松鼠,无法区分,成体,867
268,松鼠,松鼠,无法区分,无法区分,39
269,林岭雀成体,林岭雀,无法区分,成体,12
270,林猬成体,林猬,无法区分,成体,132
271,林麝亚成体,林麝,无法区分,亚成体,48
272,林麝成体,林麝,无法区分,成体,1590
273,林麝雄性成体,林麝,雄性,成体,300
274,林麝雌性成体,林麝,雌性,成体,411
275,果子狸亚成体,果子狸,无法区分,亚成体,30
276,果子狸成体,果子狸,无法区分,成体,2859
277,果子狸,果子狸,无法区分,无法区分,27
278,柯氏鼠兔成体,柯氏鼠兔,无法区分,成体,108
279,树鹨成体,树鹨,无法区分,成体,249
280,树鹨,树鹨,无法区分,无法区分,21
281,栗头八色鸫成体,栗头八色鸫,无法区分,成体,30
282,栗头树莺成体,栗头树莺,无法区分,成体,105
283,栗耳凤鹛成体,栗耳凤鹛,无法区分,成体,42
284,栗背岩鹨成体,栗背岩鹨,无法区分,成体,1278
285,栗背短翅鸫成体,栗背短翅鸫,无法区分,成体,24
286,栗腹歌鸲成体,栗腹歌鸲,无法区分,成体,24
287,栗腹歌鸲雄性成体,栗腹歌鸲,雄性,成体,12
288,栗腹歌鸲雌性成体,栗腹歌鸲,雌性,成体,45
289,栗腹矶鸫雄性成体,栗腹矶鸫,雄性,成体,12
290,栗颊噪鹛成体,栗颊噪鹛,无法区分,成体,126
291,栗颊噪鹛,栗颊噪鹛,无法区分,无法区分,78
292,梅花鹿亚成体,梅花鹿,无法区分,亚成体,237
293,梅花鹿幼体,梅花鹿,无法区分,幼体,549
294,梅花鹿成体,梅花鹿,无法区分,成体,6792
295,梅花鹿,梅花鹿,无法区分,无法区分,30
296,梅花鹿雄性亚成体,梅花鹿,雄性,亚成体,18
297,梅花鹿雄性成体,梅花鹿,雄性,成体,7149
298,梅花鹿雄性,梅花鹿,雄性,无法区分,33
299,梅花鹿雌性亚成体,梅花鹿,雌性,亚成体,105
300,梅花鹿雌性成体,梅花鹿,雌性,成体,17379
301,梅花鹿雌性,梅花鹿,雌性,无法区分,36
302,棕噪鹛成体,棕噪鹛,无法区分,成体,123
303,棕头幽鹛成体,棕头幽鹛,无法区分,成体,24
304,棕尾褐鹟成体,棕尾褐鹟,无法区分,成体,12
305,棕熊成体,棕熊,无法区分,成体,54
306,棕背䶄成体,棕背䶄,无法区分,成体,72
307,棕背伯劳成体,棕背伯劳,无法区分,成体,135
308,棕背黑头鸫成体,棕背黑头鸫,无法区分,成体,33
309,棕背黑头鸫雄性成体,棕背黑头鸫,雄性,成体,12
310,棕胸竹鸡亚成体,棕胸竹鸡,无法区分,亚成体,18
311,棕胸竹鸡成体,棕胸竹鸡,无法区分,成体,72
312,棕胸蓝姬鹟成体,棕胸蓝姬鹟,无法区分,成体,60
313,棕胸蓝姬鹟雄性成体,棕胸蓝姬鹟,雄性,成体,78
314,棕胸蓝姬鹟雌性成体,棕胸蓝姬鹟,雌性,成体,15
315,棕脸鹟莺成体,棕脸鹟莺,无法区分,成体,12
316,棕腹仙鹟成体,棕腹仙鹟,无法区分,成体,15
317,棕腹仙鹟雄性成体,棕腹仙鹟,雄性,成体,69
318,棕腹大仙鹟雄性成体,棕腹大仙鹟,雄性,成体,24
319,棕腹大仙鹟雄性,棕腹大仙鹟,雄性,无法区分,12
320,棕腹林鸲雄性成体,棕腹林鸲,雄性,成体,93
321,棕腹蓝仙鹟成体,棕腹蓝仙鹟,无法区分,成体,15
322,棕腹蓝仙鹟雄性成体,棕腹蓝仙鹟,雄性,成体,15
323,棕腹蓝仙鹟雌性成体,棕腹蓝仙鹟,雌性,成体,12
324,棕颈钩嘴鹛成体,棕颈钩嘴鹛,无法区分,成体,1677
325,棕颈钩嘴鹛,棕颈钩嘴鹛,无法区分,无法区分,129
326,棕颈雪雀成体,棕颈雪雀,无法区分,成体,111
327,椰子狸成体,椰子狸,无法区分,成体,231
328,椰子狸,椰子狸,无法区分,无法区分,354
329,楔尾绿鸠成体,楔尾绿鸠,无法区分,成体,36
330,楔尾绿鸠雄性成体,楔尾绿鸠,雄性,成体,33
331,橙头地鸫成体,橙头地鸫,无法区分,成体,618
332,橙头地鸫,橙头地鸫,无法区分,无法区分,21
333,橙头地鸫雄性成体,橙头地鸫,雄性,成体,261
334,橙头地鸫雌性成体,橙头地鸫,雌性,成体,198
335,橙翅噪鹛成体,橙翅噪鹛,无法区分,成体,3270
336,橙翅噪鹛,橙翅噪鹛,无法区分,无法区分,519
337,橙翅噪鹛雄性成体,橙翅噪鹛,雄性,成体,27
338,橙翅噪鹛雌性成体,橙翅噪鹛,雌性,成体,105
339,橙胸咬鹃成体,橙胸咬鹃,无法区分,成体,24
340,橙胸姬鹟成体,橙胸姬鹟,无法区分,成体,18
341,橙腹叶鹎成体,橙腹叶鹎,无法区分,成体,333
342,橙腹叶鹎雄性成体,橙腹叶鹎,雄性,成体,204
343,橙腹叶鹎雌性成体,橙腹叶鹎,雌性,成体,288
344,毛冠鹿亚成体,毛冠鹿,无法区分,亚成体,1080
345,毛冠鹿幼体,毛冠鹿,无法区分,幼体,360
346,毛冠鹿成体,毛冠鹿,无法区分,成体,51447
347,毛冠鹿,毛冠鹿,无法区分,无法区分,2043
348,毛冠鹿雄性亚成体,毛冠鹿,雄性,亚成体,39
349,毛冠鹿雄性成体,毛冠鹿,雄性,成体,4755
350,毛冠鹿雌性亚成体,毛冠鹿,雌性,亚成体,114
351,毛冠鹿雌性成体,毛冠鹿,雌性,成体,10485
352,毛冠鹿雌性,毛冠鹿,雌性,无法区分,30
353,水牛亚成体,水牛,无法区分,亚成体,39
354,水牛成体,水牛,无法区分,成体,21021
355,水牛,水牛,无法区分,无法区分,33
356,水牛雌性成体,水牛,雌性,成体,24
357,水鹿亚成体,水鹿,无法区分,亚成体,51
358,水鹿幼体,水鹿,无法区分,幼体,81
359,水鹿成体,水鹿,无法区分,成体,1794
360,水鹿雄性亚成体,水鹿,雄性,亚成体,45
361,水鹿雄性成体,水鹿,雄性,成体,1578
362,水鹿雌性亚成体,水鹿,雌性,亚成体,150
363,水鹿雌性成体,水鹿,雌性,成体,3555
364,池鹭雄性成体,池鹭,雄性,成体,75
365,沙狐成体,沙狐,无法区分,成体,69
366,沼泽山雀成体,沼泽山雀,无法区分,成体,27
367,海南孔雀雉成体,海南孔雀雉,无法区分,成体,12
368,海南孔雀雉,海南孔雀雉,无法区分,无法区分,57
369,海南孔雀雉雄性,海南孔雀雉,雄性,无法区分,36
370,海南山鹧鸪成体,海南山鹧鸪,无法区分,成体,12
371,海南山鹧鸪,海南山鹧鸪,无法区分,无法区分,66
372,淡背地鸫成体,淡背地鸫,无法区分,成体,177
373,渡鸦成体,渡鸦,无法区分,成体,201
374,滇金丝猴成体,滇金丝猴,无法区分,成体,39
375,灰卷尾成体,灰卷尾,无法区分,成体,300
376,灰头小鼯鼠成体,灰头小鼯鼠,无法区分,成体,165
377,灰头灰雀成体,灰头灰雀,无法区分,成体,69
378,灰头灰雀雄性成体,灰头灰雀,雄性,成体,57
379,灰头灰雀雌性成体,灰头灰雀,雌性,成体,42
380,灰头绿啄木鸟成体,灰头绿啄木鸟,无法区分,成体,492
381,灰头绿啄木鸟,灰头绿啄木鸟,无法区分,无法区分,54
382,灰头绿啄木鸟雄性成体,灰头绿啄木鸟,雄性,成体,240
383,灰头绿啄木鸟雌性成体,灰头绿啄木鸟,雌性,成体,396
384,灰头鸦雀成体,灰头鸦雀,无法区分,成体,135
385,灰头鸦雀,灰头鸦雀,无法区分,无法区分,12
386,灰头鸫亚成体,灰头鸫,无法区分,亚成体,207
387,灰头鸫成体,灰头鸫,无法区分,成体,3636
388,灰头鸫,灰头鸫,无法区分,无法区分,369
389,灰头鸫雄性亚成体,灰头鸫,雄性,亚成体,15
390,灰头鸫雄性成体,灰头鸫,雄性,成体,1104
391,灰头鸫雌性成体,灰头鸫,雌性,成体,117
392,灰头鹀成体,灰头鹀,无法区分,成体,15
393,灰孔雀雉成体,灰孔雀雉,无法区分,成体,18
394,灰孔雀雉雄性成体,灰孔雀雉,雄性,成体,15
395,灰斑鸠成体,灰斑鸠,无法区分,成体,12
396,灰林鸮成体,灰林鸮,无法区分,成体,864
397,灰林鸮,灰林鸮,无法区分,无法区分,219
398,灰树鹊成体,灰树鹊,无法区分,成体,2646
399,灰树鹊雌性成体,灰树鹊,雌性,成体,51
400,灰椋鸟成体,灰椋鸟,无法区分,成体,15
401,灰眉岩鹀成体,灰眉岩鹀,无法区分,成体,108
402,灰眶雀鹛成体,灰眶雀鹛,无法区分,成体,1893
403,灰眶雀鹛,灰眶雀鹛,无法区分,无法区分,123
404,灰短脚鹎成体,灰短脚鹎,无法区分,成体,33
405,灰翅噪鹛成体,灰翅噪鹛,无法区分,成体,2076
406,灰翅噪鹛,灰翅噪鹛,无法区分,无法区分,123
407,灰翅鸫幼体,灰翅鸫,无法区分,幼体,27
408,灰翅鸫成体,灰翅鸫,无法区分,成体,348
409,灰翅鸫,灰翅鸫,无法区分,无法区分,171
410,灰翅鸫雄性成体,灰翅鸫,雄性,成体,819
411,灰翅鸫雄性,灰翅鸫,雄性,无法区分,24
412,灰翅鸫雌性成体,灰翅鸫,雌性,成体,408
413,灰翅鸫雌性,灰翅鸫,雌性,无法区分,21
414,灰背隼雌性成体,灰背隼,雌性,成体,27
415,灰背鸫成体,灰背鸫,无法区分,成体,1377
416,灰背鸫雄性成体,灰背鸫,雄性,成体,1131
417,灰背鸫雌性成体,灰背鸫,雌性,成体,1650
418,灰胸竹鸡幼体,灰胸竹鸡,无法区分,幼体,18
419,灰胸竹鸡成体,灰胸竹鸡,无法区分,成体,5172
420,灰胸竹鸡,灰胸竹鸡,无法区分,无法区分,45
421,灰胸竹鸡雄性成体,灰胸竹鸡,雄性,成体,30
422,灰胸竹鸡雌性成体,灰胸竹鸡,雌性,成体,21
423,灰腹绣眼鸟成体,灰腹绣眼鸟,无法区分,成体,348
424,灰蓝姬鹟雄性成体,灰蓝姬鹟,雄性,成体,18
425,灰鹡鸰成体,灰鹡鸰,无法区分,成体,54
426,灰鹡鸰,灰鹡鸰,无法区分,无法区分,48
427,灰鼯鼠成体,灰鼯鼠,无法区分,成体,48
428,点胸鸦雀成体,点胸鸦雀,无法区分,成体,138
429,熊猴成体,熊猴,无法区分,成体,66
430,燕雀成体,燕雀,无法区分,成体,126
431,燕雀,燕雀,无法区分,无法区分,129
432,燕雀雄性成体,燕雀,雄性,成体,15
433,燕雀雌性成体,燕雀,雌性,成体,87
434,狍亚成体,狍,无法区分,亚成体,84
435,狍幼体,狍,无法区分,幼体,24
436,狍成体,狍,无法区分,成体,5637
437,狍,狍,无法区分,无法区分,27
438,狍雄性亚成体,狍,雄性,亚成体,273
439,狍雄性成体,狍,雄性,成体,4200
440,狍雌性亚成体,狍,雌性,亚成体,126
441,狍雌性成体,狍,雌性,成体,8625
442,狍雌性,狍,雌性,无法区分,24
443,狗獾成体,狗獾,无法区分,成体,840
444,狼成体,狼,无法区分,成体,237
445,猕猴亚成体,猕猴,无法区分,亚成体,1146
446,猕猴幼体,猕猴,无法区分,幼体,1056
447,猕猴成体,猕猴,无法区分,成体,18825
448,猕猴,猕猴,无法区分,无法区分,933
449,猕猴雄性成体,猕猴,雄性,成体,318
450,猕猴雄性,猕猴,雄性,无法区分,15
451,猕猴雌性成体,猕猴,雌性,成体,717
452,猕猴雌性,猕猴,雌性,无法区分,18
453,猞猁成体,猞猁,无法区分,成体,915
454,猞猁雄性成体,猞猁,雄性,成体,72
455,猪獾亚成体,猪獾,无法区分,亚成体,114
456,猪獾幼体,猪獾,无法区分,幼体,72
457,猪獾成体,猪獾,无法区分,成体,31815
458,猪獾,猪獾,无法区分,无法区分,2250
459,猪獾雄性成体,猪獾,雄性,成体,33
460,猪獾雌性成体,猪獾,雌性,成体,90
461,猪獾雌性,猪獾,雌性,无法区分,12
462,环颈山鹧鸪成体,环颈山鹧鸪,无法区分,成体,60
463,环颈雉成体,环颈雉,无法区分,成体,93
464,环颈雉雄性亚成体,环颈雉,雄性,亚成体,18
465,环颈雉雄性成体,环颈雉,雄性,成体,2157
466,环颈雉雌性成体,环颈雉,雌性,成体,315
467,珀氏长吻松鼠亚成体,珀氏长吻松鼠,无法区分,亚成体,33
468,珀氏长吻松鼠成体,珀氏长吻松鼠,无法区分,成体,14166
469,珀氏长吻松鼠,珀氏长吻松鼠,无法区分,无法区分,114
470,珀氏长吻松鼠雄性成体,珀氏长吻松鼠,雄性,成体,33
