ID,标签,物种,性别,年龄,数量
45,云南兔亚成体,云南兔,无法区分,亚成体,9
46,云南兔成体,云南兔,无法区分,成体,1902
47,云猫成体,云猫,无法区分,成体,57
48,云豹成体,云豹,无法区分,成体,105
49,五纹松鼠成体,五纹松鼠,无法区分,成体,9
50,人成体,人,无法区分,成体,15
51,人雄性成体,人,雄性,成体,21
52,仙八色鸫成体,仙八色鸫,无法区分,成体,87
53,侧纹岩松鼠亚成体,侧纹岩松鼠,无法区分,亚成体,9
54,侧纹岩松鼠成体,侧纹岩松鼠,无法区分,成体,2955
55,侧纹岩松鼠,侧纹岩松鼠,无法区分,无法区分,21
56,倭花鼠亚成体,倭花鼠,无法区分,亚成体,9
57,倭花鼠成体,倭花鼠,无法区分,成体,1107
58,倭花鼠,倭花鼠,无法区分,无法区分,24
59,倭花鼠雄性成体,倭花鼠,雄性,成体,9
60,兔狲成体,兔狲,无法区分,成体,144
61,凤头雀嘴鹎成体,凤头雀嘴鹎,无法区分,成体,306
62,凤头鹀成体,凤头鹀,无法区分,成体,33
63,凤头鹀雄性成体,凤头鹀,雄性,成体,12
64,凤头鹰亚成体,凤头鹰,无法区分,亚成体,9
65,凤头鹰成体,凤头鹰,无法区分,成体,195
66,凤头鹰,凤头鹰,无法区分,无法区分,114
67,凤头鹰雌性成体,凤头鹰,雌性,成体,18
68,刺猬成体,刺猬,无法区分,成体,759
69,刺猬,刺猬,无法区分,无法区分,30
70,勐海胡颓子成体,勐海胡颓子,无法区分,成体,9
71,勺鸡亚成体,勺鸡,无法区分,亚成体,12
72,勺鸡幼体,勺鸡,无法区分,幼体,24
73,勺鸡成体,勺鸡,无法区分,成体,345
74,勺鸡,勺鸡,无法区分,无法区分,162
75,勺鸡雄性成体,勺鸡,雄性,成体,2202
76,勺鸡雄性,勺鸡,雄性,无法区分,36
77,勺鸡雌性成体,勺鸡,雌性,成体,1491
78,勺鸡雌性,勺鸡,雌性,无法区分,33
79,北松鼠成体,北松鼠,无法区分,成体,135
80,北树鼩成体,北树鼩,无法区分,成体,378
81,北树鼩,北树鼩,无法区分,无法区分,177
82,北灰鹟成体,北灰鹟,无法区分,成体,93
83,北社鼠成体,北社鼠,无法区分,成体,705
84,北红尾鸲成体,北红尾鸲,无法区分,成体,54
85,北红尾鸲雄性成体,北红尾鸲,雄性,成体,177
86,北红尾鸲雌性成体,北红尾鸲,雌性,成体,90
87,北豚尾猴亚成体,北豚尾猴,无法区分,亚成体,33
88,北豚尾猴幼体,北豚尾猴,无法区分,幼体,9
89,北豚尾猴成体,北豚尾猴,无法区分,成体,369
90,北豚尾猴雄性亚成体,北豚尾猴,雄性,亚成体,21
91,北豚尾猴雄性成体,北豚尾猴,雄性,成体,48
92,北豚尾猴雌性成体,北豚尾猴,雌性,成体,63
93,华南兔成体,华南兔,无法区分,成体,3039
94,华南兔,华南兔,无法区分,无法区分,120
95,华南兔雌性成体,华南兔,雌性,成体,18
96,华南斑胸钩嘴鹛成体,华南斑胸钩嘴鹛,无法区分,成体,30
97,华南斑胸钩嘴鹛,华南斑胸钩嘴鹛,无法区分,无法区分,9
98,华南梅花鹿雌性成体,华南梅花鹿,雌性,成体,69
99,印度野牛成体,印度野牛,无法区分,成体,2934
100,印度野牛,印度野牛,无法区分,无法区分,9
101,印度野牛雄性成体,印度野牛,雄性,成体,120
102,印度野牛雄性,印度野牛,雄性,无法区分,9
103,印度野牛雌性成体,印度野牛,雌性,成体,21
104,印支灰叶猴成体,印支灰叶猴,无法区分,成体,45
105,原麝成体,原麝,无法区分,成体,96
106,原麝雄性成体,原麝,雄性,成体,45
107,原麝雌性成体,原麝,雌性,成体,54
108,双峰驼成体,双峰驼,无法区分,成体,561
109,双峰驼,双峰驼,无法区分,无法区分,78
110,发冠卷尾成体,发冠卷尾,无法区分,成体,93
111,发冠卷尾,发冠卷尾,无法区分,无法区分,33
112,古铜色卷尾成体,古铜色卷尾,无法区分,成体,9
113,台湾紫啸鸫成体,台湾紫啸鸫,无法区分,成体,9
114,喜山短翅鸫雌性成体,喜山短翅鸫,雌性,成体,15
115,喜山鵟成体,喜山鵟,无法区分,成体,9
116,喜马拉雅旱獭成体,喜马拉雅旱獭,无法区分,成体,444
117,喜马拉雅鬣羚成体,喜马拉雅鬣羚,无法区分,成体,75
118,喜鹊成体,喜鹊,无法区分,成体,411
119,四川山鹧鸪成体,四川山鹧鸪,无法区分,成体,96
120,四川梅花鹿雌性成体,四川梅花鹿,雌性,成体,12
121,四川淡背地鸫成体,四川淡背地鸫,无法区分,成体,501
122,四川淡背地鸫雄性成体,四川淡背地鸫,雄性,成体,9
123,四川羚牛成体,四川羚牛,无法区分,成体,1317
124,地山雀成体,地山雀,无法区分,成体,177
125,复齿鼯鼠成体,复齿鼯鼠,无法区分,成体,543
126,复齿鼯鼠,复齿鼯鼠,无法区分,无法区分,18
127,夜鹭亚成体,夜鹭,无法区分,亚成体,18
128,夜鹭成体,夜鹭,无法区分,成体,9
129,大仓鼠成体,大仓鼠,无法区分,成体,21
130,大仙鹟成体,大仙鹟,无法区分,成体,9
131,大仙鹟雄性成体,大仙鹟,雄性,成体,33
132,大仙鹟雌性成体,大仙鹟,雌性,成体,21
133,大嘴乌鸦成体,大嘴乌鸦,无法区分,成体,5778
134,大嘴乌鸦,大嘴乌鸦,无法区分,无法区分,9
135,大噪鹛成体,大噪鹛,无法区分,成体,198
136,大山雀成体,大山雀,无法区分,成体,390
137,大拟啄木鸟成体,大拟啄木鸟,无法区分,成体,42
138,大斑啄木鸟成体,大斑啄木鸟,无法区分,成体,198
139,大斑啄木鸟雄性成体,大斑啄木鸟,雄性,成体,33
140,大斑啄木鸟雌性成体,大斑啄木鸟,雌性,成体,42
141,大杜鹃成体,大杜鹃,无法区分,成体,18
142,大林姬鼠,大林姬鼠,无法区分,无法区分,1587
143,大灵猫成体,大灵猫,无法区分,成体,78
144,大熊猫成体,大熊猫,无法区分,成体,1623
145,大白鹭成体,大白鹭,无法区分,成体,15
146,大耳鼠兔成体,大耳鼠兔,无法区分,成体,12
147,大鵟成体,大鵟,无法区分,成体,54
148,大鹰鹃成体,大鹰鹃,无法区分,成体,9
149,大黄冠啄木鸟成体,大黄冠啄木鸟,无法区分,成体,27
150,宝兴歌鸫亚成体,宝兴歌鸫,无法区分,亚成体,30
151,宝兴歌鸫成体,宝兴歌鸫,无法区分,成体,2700
152,宝兴歌鸫,宝兴歌鸫,无法区分,无法区分,69
153,宝兴鹛雀成体,宝兴鹛雀,无法区分,成体,9
154,家牛亚成体,家牛,无法区分,亚成体,819
155,家牛幼体,家牛,无法区分,幼体,309
156,家牛成体,家牛,无法区分,成体,15579
157,家牛,家牛,无法区分,无法区分,6252
158,家牛雄性亚成体,家牛,雄性,亚成体,126
159,家牛雄性成体,家牛,雄性,成体,12006
160,家牛雄性,家牛,雄性,无法区分,48
161,家牛雌性亚成体,家牛,雌性,亚成体,333
162,家牛雌性成体,家牛,雌性,成体,2739
163,家牛雌性,家牛,雌性,无法区分,39
164,家牦牛亚成体,家牦牛,无法区分,亚成体,153
165,家牦牛幼体,家牦牛,无法区分,幼体,270
166,家牦牛成体,家牦牛,无法区分,成体,22668
167,家牦牛,家牦牛,无法区分,无法区分,69
168,家牦牛雄性成体,家牦牛,雄性,成体,891
169,家牦牛雌性成体,家牦牛,雌性,成体,285
170,家狗亚成体,家狗,无法区分,亚成体,60
171,家狗幼体,家狗,无法区分,幼体,21
172,家狗成体,家狗,无法区分,成体,5109
173,家狗,家狗,无法区分,无法区分,81
174,家狗雄性成体,家狗,雄性,成体,639
175,家狗雌性成体,家狗,雌性,成体,36
176,家猪亚成体,家猪,无法区分,亚成体,132
177,家猪幼体,家猪,无法区分,幼体,9
178,家猪成体,家猪,无法区分,成体,216
179,家猪,家猪,无法区分,无法区分,195
180,家猪雄性成体,家猪,雄性,成体,24
181,家猪雌性成体,家猪,雌性,成体,93
182,家猫成体,家猫,无法区分,成体,1272
183,家猫,家猫,无法区分,无法区分,303
184,家马亚成体,家马,无法区分,亚成体,222
185,家马幼体,家马,无法区分,幼体,93
186,家马成体,家马,无法区分,成体,6312
187,家马,家马,无法区分,无法区分,15
188,家马雄性成体,家马,雄性,成体,36
189,家马雌性成体,家马,雌性,成体,48
190,家骆驼成体,家骆驼,无法区分,成体,4623
191,家骆驼,家骆驼,无法区分,无法区分,903
192,家鸡成体,家鸡,无法区分,成体,51
193,家鸡雄性成体,家鸡,雄性,成体,33
194,家鸡雌性成体,家鸡,雌性,成体,24
195,家鸦成体,家鸦,无法区分,成体,24
196,家鸭成体,家鸭,无法区分,成体,21
197,小嘴乌鸦成体,小嘴乌鸦,无法区分,成体,2772
198,小嘴乌鸦,小嘴乌鸦,无法区分,无法区分,51
199,小嘴乌鸦雄性成体,小嘴乌鸦,雄性,成体,18
200,小天鹅亚成体,小天鹅,无法区分,亚成体,9
201,小天鹅成体,小天鹅,无法区分,成体,9
202,小家鼠成体,小家鼠,无法区分,成体,21
203,小斑啄木鸟成体,小斑啄木鸟,无法区分,成体,9
204,小泡巨鼠成体,小泡巨鼠,无法区分,成体,15
205,小灵猫成体,小灵猫,无法区分,成体,474
206,小熊猫成体,小熊猫,无法区分,成体,309
207,小虎斑地鸫成体,小虎斑地鸫,无法区分,成体,18
208,小鳞胸鹪鹛成体,小鳞胸鹪鹛,无法区分,成体,9
209,小麂亚成体,小麂,无法区分,亚成体,3291
210,小麂幼体,小麂,无法区分,幼体,2406
211,小麂成体,小麂,无法区分,成体,85800
212,小麂,小麂,无法区分,无法区分,10950
213,小麂雄性亚成体,小麂,雄性,亚成体,1620
214,小麂雄性成体,小麂,雄性,成体,94785
215,小麂雄性,小麂,雄性,无法区分,399
216,小麂雌性亚成体,小麂,雌性,亚成体,2085
217,小麂雌性成体,小麂,雌性,成体,139749
218,小麂雌性,小麂,雌性,无法区分,759
219,小黑领噪鹛亚成体,小黑领噪鹛,无法区分,亚成体,9
220,小黑领噪鹛成体,小黑领噪鹛,无法区分,成体,4533
221,小黑领噪鹛,小黑领噪鹛,无法区分,无法区分,225
222,小黑领噪鹛雄性成体,小黑领噪鹛,雄性,成体,393
223,小黑领噪鹛雌性成体,小黑领噪鹛,雌性,成体,48
224,山噪鹛成体,山噪鹛,无法区分,成体,9
225,山斑鸠亚成体,山斑鸠,无法区分,亚成体,9
226,山斑鸠成体,山斑鸠,无法区分,成体,7830
227,山斑鸠,山斑鸠,无法区分,无法区分,369
228,山斑鸠雄性成体,山斑鸠,雄性,成体,225
229,山斑鸠雌性成体,山斑鸠,雌性,成体,24
230,山羊亚成体,山羊,无法区分,亚成体,282
231,山羊幼体,山羊,无法区分,幼体,267
232,山羊成体,山羊,无法区分,成体,11565
233,山羊,山羊,无法区分,无法区分,2664
234,山羊雄性亚成体,山羊,雄性,亚成体,60
235,山羊雄性成体,山羊,雄性,成体,2313
236,山羊雄性,山羊,雄性,无法区分,21
237,山羊雌性亚成体,山羊,雌性,亚成体,69
238,山羊雌性成体,山羊,雌性,成体,1032
239,山羊雌性,山羊,雌性,无法区分,39
240,山蓝仙鹟幼体,山蓝仙鹟,无法区分,幼体,48
241,山蓝仙鹟成体,山蓝仙鹟,无法区分,成体,195
242,山蓝仙鹟雄性成体,山蓝仙鹟,雄性,成体,363
243,山蓝仙鹟雌性成体,山蓝仙鹟,雌性,成体,207
244,山鹡鸰,山鹡鸰,无法区分,无法区分,9
245,山鹪莺成体,山鹪莺,无法区分,成体,9
246,岩松鼠亚成体,岩松鼠,无法区分,亚成体,33
247,岩松鼠成体,岩松鼠,无法区分,成体,23070
248,岩松鼠,岩松鼠,无法区分,无法区分,5526
249,岩松鼠雄性成体,岩松鼠,雄性,成体,15
250,岩松鼠雌性成体,岩松鼠,雌性,成体,12
251,岩燕成体,岩燕,无法区分,成体,9
252,岩羊亚成体,岩羊,无法区分,亚成体,804
253,岩羊幼体,岩羊,无法区分,幼体,51
254,岩羊成体,岩羊,无法区分,成体,5412
255,岩羊,岩羊,无法区分,无法区分,51
256,岩羊雄性亚成体,岩羊,雄性,亚成体,15
257,岩羊雄性成体,岩羊,雄性,成体,720
258,岩羊雌性亚成体,岩羊,雌性,亚成体,105
259,岩羊雌性成体,岩羊,雌性,成体,819
260,川西鼠兔成体,川西鼠兔,无法区分,成体,1005
261,川金丝猴亚成体,川金丝猴,无法区分,亚成体,60
262,川金丝猴幼体,川金丝猴,无法区分,幼体,96
263,川金丝猴成体,川金丝猴,无法区分,成体,3639
264,川金丝猴,川金丝猴,无法区分,无法区分,249
265,川金丝猴雄性成体,川金丝猴,雄性,成体,294
266,川金丝猴雌性成体,川金丝猴,雌性,成体,39
267,川金丝猴雌性,川金丝猴,雌性,无法区分,21
268,巨松鼠成体,巨松鼠,无法区分,成体,162
269,巨松鼠,巨松鼠,无法区分,无法区分,90
270,帚尾豪猪成体,帚尾豪猪,无法区分,成体,2721
271,帚尾豪猪,帚尾豪猪,无法区分,无法区分,7845
272,帚尾豪猪雄性成体,帚尾豪猪,雄性,成体,12
273,戴胜成体,戴胜,无法区分,成体,105
274,斑喉希鹛成体,斑喉希鹛,无法区分,成体,9
275,斑嘴鸭成体,斑嘴鸭,无法区分,成体,12
276,斑头鸺鹠成体,斑头鸺鹠,无法区分,成体,24
277,斑头鸺鹠,斑头鸺鹠,无法区分,无法区分,12
278,斑姬啄木鸟,斑姬啄木鸟,无法区分,无法区分,9
279,斑林狸成体,斑林狸,无法区分,成体,477
280,斑林鸽成体,斑林鸽,无法区分,成体,45
281,斑灵猫成体,斑灵猫,无法区分,成体,30
282,斑翅山鹑成体,斑翅山鹑,无法区分,成体,9
283,斑背噪鹛成体,斑背噪鹛,无法区分,成体,1071
284,斑背噪鹛,斑背噪鹛,无法区分,无法区分,156
285,斑背燕尾成体,斑背燕尾,无法区分,成体,18
286,斑胸钩嘴鹛亚成体,斑胸钩嘴鹛,无法区分,亚成体,18
287,斑胸钩嘴鹛成体,斑胸钩嘴鹛,无法区分,成体,1965
288,斑鸫成体,斑鸫,无法区分,成体,2982
289,斑鸫,斑鸫,无法区分,无法区分,156
290,斑鸫雄性成体,斑鸫,雄性,成体,60
291,斑鸫雌性成体,斑鸫,雌性,成体,147
292,方尾鹟成体,方尾鹟,无法区分,成体,183
293,星头啄木鸟成体,星头啄木鸟,无法区分,成体,63
294,星头啄木鸟,星头啄木鸟,无法区分,无法区分,9
295,星鸦成体,星鸦,无法区分,成体,555
296,星鸦,星鸦,无法区分,无法区分,42
297,普通䴓成体,普通䴓,无法区分,成体,15
298,暗灰鹃鵙雄性成体,暗灰鹃鵙,雄性,成体,12
299,暗绿绣眼鸟成体,暗绿绣眼鸟,无法区分,成体,420
300,暗绿绣眼鸟,暗绿绣眼鸟,无法区分,无法区分,12
301,条纹松鼠成体,条纹松鼠,无法区分,成体,1734
302,条纹松鼠,条纹松鼠,无法区分,无法区分,9
303,松雀鹰亚成体,松雀鹰,无法区分,亚成体,9
304,松雀鹰成体,松雀鹰,无法区分,成体,108
305,松雀鹰,松雀鹰,无法区分,无法区分,12
306,松鸦亚成体,松鸦,无法区分,亚成体,9
307,松鸦成体,松鸦,无法区分,成体,6477
308,松鸦,松鸦,无法区分,无法区分,864
309,松鼠成体,松鼠,无法区分,成体,867
310,松鼠,松鼠,无法区分,无法区分,39
311,林岭雀成体,林岭雀,无法区分,成体,12
312,林猬成体,林猬,无法区分,成体,132
313,林麝亚成体,林麝,无法区分,亚成体,48
314,林麝成体,林麝,无法区分,成体,1590
315,林麝,林麝,无法区分,无法区分,9
316,林麝雄性成体,林麝,雄性,成体,300
317,林麝雌性成体,林麝,雌性,成体,411
318,果子狸亚成体,果子狸,无法区分,亚成体,30
319,果子狸成体,果子狸,无法区分,成体,2859
320,果子狸,果子狸,无法区分,无法区分,27
321,果子狸雄性成体,果子狸,雄性,成体,9
322,柯氏鼠兔成体,柯氏鼠兔,无法区分,成体,108
323,树鹨成体,树鹨,无法区分,成体,249
324,树鹨,树鹨,无法区分,无法区分,21
325,栗头八色鸫成体,栗头八色鸫,无法区分,成体,30
326,栗头树莺成体,栗头树莺,无法区分,成体,105
327,栗耳凤鹛成体,栗耳凤鹛,无法区分,成体,42
328,栗背伯劳雄性成体,栗背伯劳,雄性,成体,9
329,栗背岩鹨成体,栗背岩鹨,无法区分,成体,1278
330,栗背岩鹨雄性成体,栗背岩鹨,雄性,成体,9
331,栗背短翅鸫成体,栗背短翅鸫,无法区分,成体,24
332,栗腹歌鸲成体,栗腹歌鸲,无法区分,成体,24
333,栗腹歌鸲雄性成体,栗腹歌鸲,雄性,成体,12
334,栗腹歌鸲雌性成体,栗腹歌鸲,雌性,成体,45
335,栗腹矶鸫雄性成体,栗腹矶鸫,雄性,成体,12
336,栗臀䴓成体,栗臀䴓,无法区分,成体,9
337,栗颊噪鹛成体,栗颊噪鹛,无法区分,成体,126
338,栗颊噪鹛,栗颊噪鹛,无法区分,无法区分,78
339,梅花鹿亚成体,梅花鹿,无法区分,亚成体,237
340,梅花鹿幼体,梅花鹿,无法区分,幼体,549
341,梅花鹿成体,梅花鹿,无法区分,成体,6792
342,梅花鹿,梅花鹿,无法区分,无法区分,30
343,梅花鹿雄性亚成体,梅花鹿,雄性,亚成体,18
344,梅花鹿雄性成体,梅花鹿,雄性,成体,7149
345,梅花鹿雄性,梅花鹿,雄性,无法区分,33
346,梅花鹿雌性亚成体,梅花鹿,雌性,亚成体,105
347,梅花鹿雌性成体,梅花鹿,雌性,成体,17379
348,梅花鹿雌性,梅花鹿,雌性,无法区分,36
349,棕噪鹛成体,棕噪鹛,无法区分,成体,123
350,棕头幽鹛成体,棕头幽鹛,无法区分,成体,24
351,棕尾褐鹟成体,棕尾褐鹟,无法区分,成体,12
352,棕熊成体,棕熊,无法区分,成体,54
353,棕背䶄成体,棕背䶄,无法区分,成体,72
354,棕背伯劳成体,棕背伯劳,无法区分,成体,135
355,棕背黑头鸫成体,棕背黑头鸫,无法区分,成体,33
356,棕背黑头鸫雄性成体,棕背黑头鸫,雄性,成体,12
357,棕背黑头鸫雌性成体,棕背黑头鸫,雌性,成体,9
358,棕胸竹鸡亚成体,棕胸竹鸡,无法区分,亚成体,18
359,棕胸竹鸡成体,棕胸竹鸡,无法区分,成体,72
360,棕胸蓝姬鹟成体,棕胸蓝姬鹟,无法区分,成体,60
361,棕胸蓝姬鹟雄性成体,棕胸蓝姬鹟,雄性,成体,78
362,棕胸蓝姬鹟雌性成体,棕胸蓝姬鹟,雌性,成体,15
363,棕脸鹟莺成体,棕脸鹟莺,无法区分,成体,12
364,棕腹仙鹟成体,棕腹仙鹟,无法区分,成体,15
365,棕腹仙鹟雄性成体,棕腹仙鹟,雄性,成体,69
366,棕腹大仙鹟雄性成体,棕腹大仙鹟,雄性,成体,24
367,棕腹大仙鹟雄性,棕腹大仙鹟,雄性,无法区分,12
368,棕腹林鸲雄性成体,棕腹林鸲,雄性,成体,93
369,棕腹蓝仙鹟成体,棕腹蓝仙鹟,无法区分,成体,15
370,棕腹蓝仙鹟雄性成体,棕腹蓝仙鹟,雄性,成体,15
371,棕腹蓝仙鹟雌性成体,棕腹蓝仙鹟,雌性,成体,12
372,棕颈钩嘴鹛成体,棕颈钩嘴鹛,无法区分,成体,1677
373,棕颈钩嘴鹛,棕颈钩嘴鹛,无法区分,无法区分,129
374,棕颈雪雀成体,棕颈雪雀,无法区分,成体,111
375,椰子狸成体,椰子狸,无法区分,成体,231
376,椰子狸,椰子狸,无法区分,无法区分,354
377,楔尾绿鸠成体,楔尾绿鸠,无法区分,成体,36
378,楔尾绿鸠雄性成体,楔尾绿鸠,雄性,成体,33
379,橙头地鸫亚成体,橙头地鸫,无法区分,亚成体,9
380,橙头地鸫成体,橙头地鸫,无法区分,成体,618
381,橙头地鸫,橙头地鸫,无法区分,无法区分,21
382,橙头地鸫雄性成体,橙头地鸫,雄性,成体,261
383,橙头地鸫雌性成体,橙头地鸫,雌性,成体,198
384,橙翅噪鹛成体,橙翅噪鹛,无法区分,成体,3270
385,橙翅噪鹛,橙翅噪鹛,无法区分,无法区分,519
386,橙翅噪鹛雄性成体,橙翅噪鹛,雄性,成体,27
387,橙翅噪鹛雌性成体,橙翅噪鹛,雌性,成体,105
388,橙胸咬鹃成体,橙胸咬鹃,无法区分,成体,24
389,橙胸姬鹟成体,橙胸姬鹟,无法区分,成体,18
390,橙胸姬鹟雌性成体,橙胸姬鹟,雌性,成体,9
391,橙腹叶鹎成体,橙腹叶鹎,无法区分,成体,333
392,橙腹叶鹎雄性成体,橙腹叶鹎,雄性,成体,204
393,橙腹叶鹎雌性成体,橙腹叶鹎,雌性,成体,288
394,橙腹长吻松鼠成体,橙腹长吻松鼠,无法区分,成体,9
395,毛冠鹿亚成体,毛冠鹿,无法区分,亚成体,1080
396,毛冠鹿幼体,毛冠鹿,无法区分,幼体,360
397,毛冠鹿成体,毛冠鹿,无法区分,成体,51447
398,毛冠鹿,毛冠鹿,无法区分,无法区分,2043
399,毛冠鹿雄性亚成体,毛冠鹿,雄性,亚成体,39
400,毛冠鹿雄性成体,毛冠鹿,雄性,成体,4755
401,毛冠鹿雌性亚成体,毛冠鹿,雌性,亚成体,114
402,毛冠鹿雌性成体,毛冠鹿,雌性,成体,10485
403,毛冠鹿雌性,毛冠鹿,雌性,无法区分,30
404,水牛亚成体,水牛,无法区分,亚成体,39
405,水牛成体,水牛,无法区分,成体,21021
406,水牛,水牛,无法区分,无法区分,33
407,水牛雌性成体,水牛,雌性,成体,24
408,水鹿亚成体,水鹿,无法区分,亚成体,51
409,水鹿幼体,水鹿,无法区分,幼体,81
410,水鹿成体,水鹿,无法区分,成体,1794
411,水鹿,水鹿,无法区分,无法区分,9
412,水鹿雄性亚成体,水鹿,雄性,亚成体,45
413,水鹿雄性成体,水鹿,雄性,成体,1578
414,水鹿雌性亚成体,水鹿,雌性,亚成体,150
415,水鹿雌性成体,水鹿,雌性,成体,3555
416,池鹭雄性成体,池鹭,雄性,成体,75
417,沙狐成体,沙狐,无法区分,成体,69
418,沼泽山雀成体,沼泽山雀,无法区分,成体,27
419,海南孔雀雉成体,海南孔雀雉,无法区分,成体,12
420,海南孔雀雉,海南孔雀雉,无法区分,无法区分,57
421,海南孔雀雉雄性,海南孔雀雉,雄性,无法区分,36
422,海南山鹧鸪成体,海南山鹧鸪,无法区分,成体,12
423,海南山鹧鸪,海南山鹧鸪,无法区分,无法区分,66
424,海南蓝仙鹟成体,海南蓝仙鹟,无法区分,成体,9
425,海南鳽成体,海南鳽,无法区分,成体,9
426,淡灰眉岩鹀成体,淡灰眉岩鹀,无法区分,成体,9
427,淡背地鸫成体,淡背地鸫,无法区分,成体,177
428,渡鸦成体,渡鸦,无法区分,成体,201
429,滇金丝猴成体,滇金丝猴,无法区分,成体,39
430,灰卷尾成体,灰卷尾,无法区分,成体,300
431,灰头小鼯鼠成体,灰头小鼯鼠,无法区分,成体,165
432,灰头小鼯鼠,灰头小鼯鼠,无法区分,无法区分,9
433,灰头灰雀成体,灰头灰雀,无法区分,成体,69
434,灰头灰雀雄性成体,灰头灰雀,雄性,成体,57
435,灰头灰雀雌性成体,灰头灰雀,雌性,成体,42
436,灰头绿啄木鸟成体,灰头绿啄木鸟,无法区分,成体,492
437,灰头绿啄木鸟,灰头绿啄木鸟,无法区分,无法区分,54
438,灰头绿啄木鸟雄性成体,灰头绿啄木鸟,雄性,成体,240
439,灰头绿啄木鸟雄性,灰头绿啄木鸟,雄性,无法区分,9
440,灰头绿啄木鸟雌性成体,灰头绿啄木鸟,雌性,成体,396
441,灰头鸦雀成体,灰头鸦雀,无法区分,成体,135
442,灰头鸦雀,灰头鸦雀,无法区分,无法区分,12
443,灰头鸫亚成体,灰头鸫,无法区分,亚成体,207
444,灰头鸫成体,灰头鸫,无法区分,成体,3636
445,灰头鸫,灰头鸫,无法区分,无法区分,369
446,灰头鸫雄性亚成体,灰头鸫,雄性,亚成体,15
447,灰头鸫雄性成体,灰头鸫,雄性,成体,1104
448,灰头鸫雌性成体,灰头鸫,雌性,成体,117
449,灰头鹀成体,灰头鹀,无法区分,成体,15
450,灰孔雀雉成体,灰孔雀雉,无法区分,成体,18
451,灰孔雀雉雄性成体,灰孔雀雉,雄性,成体,15
452,灰尾兔成体,灰尾兔,无法区分,成体,9
453,灰斑鸠成体,灰斑鸠,无法区分,成体,12
454,灰林鸮成体,灰林鸮,无法区分,成体,864
455,灰林鸮,灰林鸮,无法区分,无法区分,219
456,灰林鸽成体,灰林鸽,无法区分,成体,9
457,灰树鹊成体,灰树鹊,无法区分,成体,2646
458,灰树鹊雌性成体,灰树鹊,雌性,成体,51
459,灰椋鸟成体,灰椋鸟,无法区分,成体,15
460,灰眉岩鹀成体,灰眉岩鹀,无法区分,成体,108
461,灰眶雀鹛成体,灰眶雀鹛,无法区分,成体,1893
462,灰眶雀鹛,灰眶雀鹛,无法区分,无法区分,123
463,灰眶雀鹛雄性成体,灰眶雀鹛,雄性,成体,9
464,灰短脚鹎成体,灰短脚鹎,无法区分,成体,33
465,灰翅噪鹛成体,灰翅噪鹛,无法区分,成体,2076
