ID,标签,物种,性别,年龄,数量
44,乌鸫成体,乌鸫,无法区分,成体,333
45,乌鸫,乌鸫,无法区分,无法区分,72
46,乌鸫雄性成体,乌鸫,雄性,成体,90
47,乌鸫雌性成体,乌鸫,雌性,成体,45
48,云南兔亚成体,云南兔,无法区分,亚成体,9
49,云南兔成体,云南兔,无法区分,成体,1902
50,云南兔,云南兔,无法区分,无法区分,6
51,云猫成体,云猫,无法区分,成体,57
52,云豹成体,云豹,无法区分,成体,105
53,五纹松鼠成体,五纹松鼠,无法区分,成体,9
54,人成体,人,无法区分,成体,15
55,人雄性成体,人,雄性,成体,21
56,仙八色鸫成体,仙八色鸫,无法区分,成体,87
57,侧纹岩松鼠亚成体,侧纹岩松鼠,无法区分,亚成体,9
58,侧纹岩松鼠成体,侧纹岩松鼠,无法区分,成体,2955
59,侧纹岩松鼠,侧纹岩松鼠,无法区分,无法区分,21
60,侧纹岩松鼠雌性,侧纹岩松鼠,雌性,无法区分,6
61,倭花鼠亚成体,倭花鼠,无法区分,亚成体,9
62,倭花鼠成体,倭花鼠,无法区分,成体,1107
63,倭花鼠,倭花鼠,无法区分,无法区分,24
64,倭花鼠雄性成体,倭花鼠,雄性,成体,9
65,兔狲成体,兔狲,无法区分,成体,144
66,兔狲雄性成体,兔狲,雄性,成体,6
67,凤头雀嘴鹎成体,凤头雀嘴鹎,无法区分,成体,306
68,凤头鹀成体,凤头鹀,无法区分,成体,33
69,凤头鹀雄性成体,凤头鹀,雄性,成体,12
70,凤头鹰亚成体,凤头鹰,无法区分,亚成体,9
71,凤头鹰成体,凤头鹰,无法区分,成体,195
72,凤头鹰,凤头鹰,无法区分,无法区分,114
73,凤头鹰雌性成体,凤头鹰,雌性,成体,18
74,刺猬成体,刺猬,无法区分,成体,759
75,刺猬,刺猬,无法区分,无法区分,30
76,勐海胡颓子成体,勐海胡颓子,无法区分,成体,9
77,勺鸡亚成体,勺鸡,无法区分,亚成体,12
78,勺鸡幼体,勺鸡,无法区分,幼体,24
79,勺鸡成体,勺鸡,无法区分,成体,345
80,勺鸡,勺鸡,无法区分,无法区分,162
81,勺鸡雄性亚成体,勺鸡,雄性,亚成体,6
82,勺鸡雄性成体,勺鸡,雄性,成体,2202
83,勺鸡雄性,勺鸡,雄性,无法区分,36
84,勺鸡雌性成体,勺鸡,雌性,成体,1491
85,勺鸡雌性,勺鸡,雌性,无法区分,33
86,北松鼠成体,北松鼠,无法区分,成体,135
87,北树鼩成体,北树鼩,无法区分,成体,378
88,北树鼩,北树鼩,无法区分,无法区分,177
89,北灰鹟成体,北灰鹟,无法区分,成体,93
90,北社鼠成体,北社鼠,无法区分,成体,705
91,北红尾鸲成体,北红尾鸲,无法区分,成体,54
92,北红尾鸲雄性成体,北红尾鸲,雄性,成体,177
93,北红尾鸲雌性成体,北红尾鸲,雌性,成体,90
94,北豚尾猴亚成体,北豚尾猴,无法区分,亚成体,33
95,北豚尾猴幼体,北豚尾猴,无法区分,幼体,9
96,北豚尾猴成体,北豚尾猴,无法区分,成体,369
97,北豚尾猴雄性亚成体,北豚尾猴,雄性,亚成体,21
98,北豚尾猴雄性成体,北豚尾猴,雄性,成体,48
99,北豚尾猴雌性成体,北豚尾猴,雌性,成体,63
100,华南兔成体,华南兔,无法区分,成体,3039
101,华南兔,华南兔,无法区分,无法区分,120
102,华南兔雌性成体,华南兔,雌性,成体,18
103,华南斑胸钩嘴鹛成体,华南斑胸钩嘴鹛,无法区分,成体,30
104,华南斑胸钩嘴鹛,华南斑胸钩嘴鹛,无法区分,无法区分,9
105,华南梅花鹿雌性成体,华南梅花鹿,雌性,成体,69
106,印度野牛成体,印度野牛,无法区分,成体,2934
107,印度野牛,印度野牛,无法区分,无法区分,9
108,印度野牛雄性成体,印度野牛,雄性,成体,120
109,印度野牛雄性,印度野牛,雄性,无法区分,9
110,印度野牛雌性成体,印度野牛,雌性,成体,21
111,印支灰叶猴成体,印支灰叶猴,无法区分,成体,45
112,原麝亚成体,原麝,无法区分,亚成体,6
113,原麝成体,原麝,无法区分,成体,96
114,原麝雄性成体,原麝,雄性,成体,45
115,原麝雌性成体,原麝,雌性,成体,54
116,双峰驼成体,双峰驼,无法区分,成体,561
117,双峰驼,双峰驼,无法区分,无法区分,78
118,双峰驼雌性成体,双峰驼,雌性,成体,6
119,发冠卷尾成体,发冠卷尾,无法区分,成体,93
120,发冠卷尾,发冠卷尾,无法区分,无法区分,33
121,古铜色卷尾成体,古铜色卷尾,无法区分,成体,9
122,台湾紫啸鸫成体,台湾紫啸鸫,无法区分,成体,9
123,台湾鬣羚成体,台湾鬣羚,无法区分,成体,6
124,喜山短翅鸫成体,喜山短翅鸫,无法区分,成体,6
125,喜山短翅鸫雌性成体,喜山短翅鸫,雌性,成体,15
126,喜山鵟成体,喜山鵟,无法区分,成体,9
127,喜马拉雅旱獭成体,喜马拉雅旱獭,无法区分,成体,444
128,喜马拉雅鬣羚成体,喜马拉雅鬣羚,无法区分,成体,75
129,喜鹊成体,喜鹊,无法区分,成体,411
130,四川山鹧鸪成体,四川山鹧鸪,无法区分,成体,96
131,四川梅花鹿雄性成体,四川梅花鹿,雄性,成体,6
132,四川梅花鹿雌性成体,四川梅花鹿,雌性,成体,12
133,四川淡背地鸫成体,四川淡背地鸫,无法区分,成体,501
134,四川淡背地鸫雄性成体,四川淡背地鸫,雄性,成体,9
135,四川羚牛亚成体,四川羚牛,无法区分,亚成体,6
136,四川羚牛成体,四川羚牛,无法区分,成体,1317
137,圆鼻巨蜥亚成体,圆鼻巨蜥,无法区分,亚成体,6
138,地山雀成体,地山雀,无法区分,成体,177
139,复齿鼯鼠亚成体,复齿鼯鼠,无法区分,亚成体,6
140,复齿鼯鼠成体,复齿鼯鼠,无法区分,成体,543
141,复齿鼯鼠,复齿鼯鼠,无法区分,无法区分,18
142,夜鹭亚成体,夜鹭,无法区分,亚成体,18
143,夜鹭成体,夜鹭,无法区分,成体,9
144,大仓鼠成体,大仓鼠,无法区分,成体,21
145,大仙鹟成体,大仙鹟,无法区分,成体,9
146,大仙鹟雄性成体,大仙鹟,雄性,成体,33
147,大仙鹟雌性成体,大仙鹟,雌性,成体,21
148,大嘴乌鸦成体,大嘴乌鸦,无法区分,成体,5778
149,大嘴乌鸦,大嘴乌鸦,无法区分,无法区分,9
150,大噪鹛成体,大噪鹛,无法区分,成体,198
151,大山雀成体,大山雀,无法区分,成体,390
152,大拟啄木鸟成体,大拟啄木鸟,无法区分,成体,42
153,大斑啄木鸟成体,大斑啄木鸟,无法区分,成体,198
154,大斑啄木鸟,大斑啄木鸟,无法区分,无法区分,6
155,大斑啄木鸟雄性成体,大斑啄木鸟,雄性,成体,33
156,大斑啄木鸟雌性成体,大斑啄木鸟,雌性,成体,42
157,大杜鹃成体,大杜鹃,无法区分,成体,18
158,大林姬鼠,大林姬鼠,无法区分,无法区分,1587
159,大灵猫成体,大灵猫,无法区分,成体,78
160,大熊猫成体,大熊猫,无法区分,成体,1623
161,大白鹭成体,大白鹭,无法区分,成体,15
162,大耳鼠兔成体,大耳鼠兔,无法区分,成体,12
163,大鵟成体,大鵟,无法区分,成体,54
164,大鹰鹃成体,大鹰鹃,无法区分,成体,9
165,大黄冠啄木鸟成体,大黄冠啄木鸟,无法区分,成体,27
166,宝兴歌鸫亚成体,宝兴歌鸫,无法区分,亚成体,30
167,宝兴歌鸫成体,宝兴歌鸫,无法区分,成体,2700
168,宝兴歌鸫,宝兴歌鸫,无法区分,无法区分,69
169,宝兴鹛雀成体,宝兴鹛雀,无法区分,成体,9
170,家牛亚成体,家牛,无法区分,亚成体,819
171,家牛幼体,家牛,无法区分,幼体,309
172,家牛成体,家牛,无法区分,成体,15579
173,家牛,家牛,无法区分,无法区分,6252
174,家牛雄性亚成体,家牛,雄性,亚成体,126
175,家牛雄性成体,家牛,雄性,成体,12006
176,家牛雄性,家牛,雄性,无法区分,48
177,家牛雌性亚成体,家牛,雌性,亚成体,333
178,家牛雌性成体,家牛,雌性,成体,2739
179,家牛雌性,家牛,雌性,无法区分,39
180,家牦牛亚成体,家牦牛,无法区分,亚成体,153
181,家牦牛幼体,家牦牛,无法区分,幼体,270
182,家牦牛成体,家牦牛,无法区分,成体,22668
183,家牦牛,家牦牛,无法区分,无法区分,69
184,家牦牛雄性成体,家牦牛,雄性,成体,891
185,家牦牛雌性成体,家牦牛,雌性,成体,285
186,家狗亚成体,家狗,无法区分,亚成体,60
187,家狗幼体,家狗,无法区分,幼体,21
188,家狗成体,家狗,无法区分,成体,5109
189,家狗,家狗,无法区分,无法区分,81
190,家狗雄性成体,家狗,雄性,成体,639
191,家狗雌性成体,家狗,雌性,成体,36
192,家猪亚成体,家猪,无法区分,亚成体,132
193,家猪幼体,家猪,无法区分,幼体,9
194,家猪成体,家猪,无法区分,成体,216
195,家猪,家猪,无法区分,无法区分,195
196,家猪雄性亚成体,家猪,雄性,亚成体,6
197,家猪雄性成体,家猪,雄性,成体,24
198,家猪雌性成体,家猪,雌性,成体,93
199,家猫成体,家猫,无法区分,成体,1272
200,家猫,家猫,无法区分,无法区分,303
201,家马亚成体,家马,无法区分,亚成体,222
202,家马幼体,家马,无法区分,幼体,93
203,家马成体,家马,无法区分,成体,6312
204,家马,家马,无法区分,无法区分,15
205,家马雄性成体,家马,雄性,成体,36
206,家马雌性成体,家马,雌性,成体,48
207,家骆驼亚成体,家骆驼,无法区分,亚成体,6
208,家骆驼成体,家骆驼,无法区分,成体,4623
209,家骆驼,家骆驼,无法区分,无法区分,903
210,家鸡成体,家鸡,无法区分,成体,51
211,家鸡雄性成体,家鸡,雄性,成体,33
212,家鸡雌性成体,家鸡,雌性,成体,24
213,家鸦成体,家鸦,无法区分,成体,24
214,家鸭成体,家鸭,无法区分,成体,21
215,小云雀成体,小云雀,无法区分,成体,6
216,小嘴乌鸦亚成体,小嘴乌鸦,无法区分,亚成体,6
217,小嘴乌鸦成体,小嘴乌鸦,无法区分,成体,2772
218,小嘴乌鸦,小嘴乌鸦,无法区分,无法区分,51
219,小嘴乌鸦雄性成体,小嘴乌鸦,雄性,成体,18
220,小天鹅亚成体,小天鹅,无法区分,亚成体,9
221,小天鹅成体,小天鹅,无法区分,成体,9
222,小家鼠成体,小家鼠,无法区分,成体,21
223,小斑啄木鸟成体,小斑啄木鸟,无法区分,成体,9
224,小泡巨鼠成体,小泡巨鼠,无法区分,成体,15
225,小灵猫成体,小灵猫,无法区分,成体,474
226,小熊猫成体,小熊猫,无法区分,成体,309
227,小茄,小茄,无法区分,无法区分,6
228,小虎斑地鸫成体,小虎斑地鸫,无法区分,成体,18
229,小鳞胸鹪鹛成体,小鳞胸鹪鹛,无法区分,成体,9
230,小麂亚成体,小麂,无法区分,亚成体,3291
231,小麂幼体,小麂,无法区分,幼体,2406
232,小麂成体,小麂,无法区分,成体,85800
233,小麂,小麂,无法区分,无法区分,10950
234,小麂雄性亚成体,小麂,雄性,亚成体,1620
235,小麂雄性成体,小麂,雄性,成体,94785
236,小麂雄性,小麂,雄性,无法区分,399
237,小麂雌性亚成体,小麂,雌性,亚成体,2085
238,小麂雌性成体,小麂,雌性,成体,139749
239,小麂雌性,小麂,雌性,无法区分,759
240,小黑领噪鹛亚成体,小黑领噪鹛,无法区分,亚成体,9
241,小黑领噪鹛成体,小黑领噪鹛,无法区分,成体,4533
242,小黑领噪鹛,小黑领噪鹛,无法区分,无法区分,225
243,小黑领噪鹛雄性成体,小黑领噪鹛,雄性,成体,393
244,小黑领噪鹛雌性成体,小黑领噪鹛,雌性,成体,48
245,山噪鹛成体,山噪鹛,无法区分,成体,9
246,山斑鸠亚成体,山斑鸠,无法区分,亚成体,9
247,山斑鸠成体,山斑鸠,无法区分,成体,7830
248,山斑鸠,山斑鸠,无法区分,无法区分,369
249,山斑鸠雄性成体,山斑鸠,雄性,成体,225
250,山斑鸠雌性成体,山斑鸠,雌性,成体,24
251,山羊亚成体,山羊,无法区分,亚成体,282
252,山羊幼体,山羊,无法区分,幼体,267
253,山羊成体,山羊,无法区分,成体,11565
254,山羊,山羊,无法区分,无法区分,2664
255,山羊雄性亚成体,山羊,雄性,亚成体,60
256,山羊雄性成体,山羊,雄性,成体,2313
257,山羊雄性,山羊,雄性,无法区分,21
258,山羊雌性亚成体,山羊,雌性,亚成体,69
259,山羊雌性成体,山羊,雌性,成体,1032
260,山羊雌性,山羊,雌性,无法区分,39
261,山蓝仙鹟幼体,山蓝仙鹟,无法区分,幼体,48
262,山蓝仙鹟成体,山蓝仙鹟,无法区分,成体,195
263,山蓝仙鹟雄性成体,山蓝仙鹟,雄性,成体,363
264,山蓝仙鹟雌性成体,山蓝仙鹟,雌性,成体,207
265,山鹡鸰,山鹡鸰,无法区分,无法区分,9
266,山鹪莺成体,山鹪莺,无法区分,成体,9
267,岩松鼠亚成体,岩松鼠,无法区分,亚成体,33
268,岩松鼠成体,岩松鼠,无法区分,成体,23070
269,岩松鼠,岩松鼠,无法区分,无法区分,5526
270,岩松鼠雄性成体,岩松鼠,雄性,成体,15
271,岩松鼠雌性成体,岩松鼠,雌性,成体,12
272,岩燕成体,岩燕,无法区分,成体,9
273,岩羊亚成体,岩羊,无法区分,亚成体,804
274,岩羊幼体,岩羊,无法区分,幼体,51
275,岩羊成体,岩羊,无法区分,成体,5412
276,岩羊,岩羊,无法区分,无法区分,51
277,岩羊雄性亚成体,岩羊,雄性,亚成体,15
278,岩羊雄性成体,岩羊,雄性,成体,720
279,岩羊雌性亚成体,岩羊,雌性,亚成体,105
280,岩羊雌性成体,岩羊,雌性,成体,819
281,岩羊雌性,岩羊,雌性,无法区分,6
282,川西鼠兔成体,川西鼠兔,无法区分,成体,1005
283,川金丝猴亚成体,川金丝猴,无法区分,亚成体,60
284,川金丝猴幼体,川金丝猴,无法区分,幼体,96
285,川金丝猴成体,川金丝猴,无法区分,成体,3639
286,川金丝猴,川金丝猴,无法区分,无法区分,249
287,川金丝猴雄性成体,川金丝猴,雄性,成体,294
288,川金丝猴雌性成体,川金丝猴,雌性,成体,39
289,川金丝猴雌性,川金丝猴,雌性,无法区分,21
290,巢鼠成体,巢鼠,无法区分,成体,6
291,巨嘴柳莺成体,巨嘴柳莺,无法区分,成体,6
292,巨松鼠成体,巨松鼠,无法区分,成体,162
293,巨松鼠,巨松鼠,无法区分,无法区分,90
294,帚尾豪猪幼体,帚尾豪猪,无法区分,幼体,6
295,帚尾豪猪成体,帚尾豪猪,无法区分,成体,2721
296,帚尾豪猪,帚尾豪猪,无法区分,无法区分,7845
297,帚尾豪猪雄性成体,帚尾豪猪,雄性,成体,12
298,帚尾豪猪雌性,帚尾豪猪,雌性,无法区分,6
299,戴胜成体,戴胜,无法区分,成体,105
300,戴胜雄性成体,戴胜,雄性,成体,6
301,斑喉希鹛成体,斑喉希鹛,无法区分,成体,9
302,斑嘴鸭成体,斑嘴鸭,无法区分,成体,12
303,斑头雁成体,斑头雁,无法区分,成体,6
304,斑头鸺鹠成体,斑头鸺鹠,无法区分,成体,24
305,斑头鸺鹠,斑头鸺鹠,无法区分,无法区分,12
306,斑姬啄木鸟,斑姬啄木鸟,无法区分,无法区分,9
307,斑尾榛鸡成体,斑尾榛鸡,无法区分,成体,6
308,斑尾榛鸡雌性成体,斑尾榛鸡,雌性,成体,6
309,斑林狸成体,斑林狸,无法区分,成体,477
310,斑林鸽成体,斑林鸽,无法区分,成体,45
311,斑灵猫成体,斑灵猫,无法区分,成体,30
312,斑灵猫,斑灵猫,无法区分,无法区分,6
313,斑翅山鹑成体,斑翅山鹑,无法区分,成体,9
314,斑背噪鹛成体,斑背噪鹛,无法区分,成体,1071
315,斑背噪鹛,斑背噪鹛,无法区分,无法区分,156
316,斑背燕尾成体,斑背燕尾,无法区分,成体,18
317,斑胸钩嘴鹛亚成体,斑胸钩嘴鹛,无法区分,亚成体,18
318,斑胸钩嘴鹛成体,斑胸钩嘴鹛,无法区分,成体,1965
319,斑胸钩嘴鹛雌性成体,斑胸钩嘴鹛,雌性,成体,6
320,斑鸫成体,斑鸫,无法区分,成体,2982
321,斑鸫,斑鸫,无法区分,无法区分,156
322,斑鸫雄性成体,斑鸫,雄性,成体,60
323,斑鸫雌性成体,斑鸫,雌性,成体,147
324,方尾鹟成体,方尾鹟,无法区分,成体,183
325,星头啄木鸟成体,星头啄木鸟,无法区分,成体,63
326,星头啄木鸟,星头啄木鸟,无法区分,无法区分,9
327,星鸦成体,星鸦,无法区分,成体,555
328,星鸦,星鸦,无法区分,无法区分,42
329,普通䴓成体,普通䴓,无法区分,成体,15
330,普通长翼蝠成体,普通长翼蝠,无法区分,成体,6
331,暗灰鹃鵙雄性成体,暗灰鹃鵙,雄性,成体,12
332,暗绿绣眼鸟成体,暗绿绣眼鸟,无法区分,成体,420
333,暗绿绣眼鸟,暗绿绣眼鸟,无法区分,无法区分,12
334,条纹松鼠成体,条纹松鼠,无法区分,成体,1734
335,条纹松鼠,条纹松鼠,无法区分,无法区分,9
336,松雀鹰亚成体,松雀鹰,无法区分,亚成体,9
337,松雀鹰成体,松雀鹰,无法区分,成体,108
338,松雀鹰,松雀鹰,无法区分,无法区分,12
339,松鸦亚成体,松鸦,无法区分,亚成体,9
340,松鸦成体,松鸦,无法区分,成体,6477
341,松鸦,松鸦,无法区分,无法区分,864
342,松鸦雄性成体,松鸦,雄性,成体,6
343,松鼠成体,松鼠,无法区分,成体,867
344,松鼠,松鼠,无法区分,无法区分,39
345,林岭雀成体,林岭雀,无法区分,成体,12
346,林猬成体,林猬,无法区分,成体,132
347,林麝亚成体,林麝,无法区分,亚成体,48
348,林麝成体,林麝,无法区分,成体,1590
349,林麝,林麝,无法区分,无法区分,9
350,林麝雄性成体,林麝,雄性,成体,300
351,林麝雌性成体,林麝,雌性,成体,411
352,果子狸亚成体,果子狸,无法区分,亚成体,30
353,果子狸成体,果子狸,无法区分,成体,2859
354,果子狸,果子狸,无法区分,无法区分,27
355,果子狸雄性成体,果子狸,雄性,成体,9
356,柯氏鼠兔成体,柯氏鼠兔,无法区分,成体,108
357,树鹨成体,树鹨,无法区分,成体,249
358,树鹨,树鹨,无法区分,无法区分,21
359,栗啄木鸟成体,栗啄木鸟,无法区分,成体,6
360,栗头八色鸫成体,栗头八色鸫,无法区分,成体,30
361,栗头树莺成体,栗头树莺,无法区分,成体,105
362,栗耳凤鹛成体,栗耳凤鹛,无法区分,成体,42
363,栗背伯劳雄性成体,栗背伯劳,雄性,成体,9
364,栗背岩鹨成体,栗背岩鹨,无法区分,成体,1278
365,栗背岩鹨雄性成体,栗背岩鹨,雄性,成体,9
366,栗背短翅鸫成体,栗背短翅鸫,无法区分,成体,24
367,栗腹歌鸲成体,栗腹歌鸲,无法区分,成体,24
368,栗腹歌鸲雄性成体,栗腹歌鸲,雄性,成体,12
369,栗腹歌鸲雌性成体,栗腹歌鸲,雌性,成体,45
370,栗腹矶鸫雄性成体,栗腹矶鸫,雄性,成体,12
371,栗腹矶鸫雌性成体,栗腹矶鸫,雌性,成体,6
372,栗腹矶鸫雌性,栗腹矶鸫,雌性,无法区分,6
373,栗臀䴓成体,栗臀䴓,无法区分,成体,9
374,栗颊噪鹛成体,栗颊噪鹛,无法区分,成体,126
375,栗颊噪鹛,栗颊噪鹛,无法区分,无法区分,78
376,梅花鹿亚成体,梅花鹿,无法区分,亚成体,237
377,梅花鹿幼体,梅花鹿,无法区分,幼体,549
378,梅花鹿成体,梅花鹿,无法区分,成体,6792
379,梅花鹿,梅花鹿,无法区分,无法区分,30
380,梅花鹿雄性亚成体,梅花鹿,雄性,亚成体,18
381,梅花鹿雄性成体,梅花鹿,雄性,成体,7149
382,梅花鹿雄性,梅花鹿,雄性,无法区分,33
383,梅花鹿雌性亚成体,梅花鹿,雌性,亚成体,105
384,梅花鹿雌性成体,梅花鹿,雌性,成体,17379
385,梅花鹿雌性,梅花鹿,雌性,无法区分,36
386,棕噪鹛成体,棕噪鹛,无法区分,成体,123
387,棕头幽鹛成体,棕头幽鹛,无法区分,成体,24
388,棕尾褐鹟成体,棕尾褐鹟,无法区分,成体,12
389,棕熊成体,棕熊,无法区分,成体,54
390,棕背䶄成体,棕背䶄,无法区分,成体,72
391,棕背伯劳成体,棕背伯劳,无法区分,成体,135
392,棕背黑头鸫成体,棕背黑头鸫,无法区分,成体,33
393,棕背黑头鸫雄性成体,棕背黑头鸫,雄性,成体,12
394,棕背黑头鸫雌性成体,棕背黑头鸫,雌性,成体,9
395,棕胸竹鸡亚成体,棕胸竹鸡,无法区分,亚成体,18
396,棕胸竹鸡成体,棕胸竹鸡,无法区分,成体,72
397,棕胸蓝姬鹟成体,棕胸蓝姬鹟,无法区分,成体,60
398,棕胸蓝姬鹟雄性成体,棕胸蓝姬鹟,雄性,成体,78
399,棕胸蓝姬鹟雌性成体,棕胸蓝姬鹟,雌性,成体,15
400,棕脸鹟莺成体,棕脸鹟莺,无法区分,成体,12
401,棕腹仙鹟成体,棕腹仙鹟,无法区分,成体,15
402,棕腹仙鹟雄性成体,棕腹仙鹟,雄性,成体,69
403,棕腹仙鹟雌性成体,棕腹仙鹟,雌性,成体,6
404,棕腹大仙鹟雄性成体,棕腹大仙鹟,雄性,成体,24
405,棕腹大仙鹟雄性,棕腹大仙鹟,雄性,无法区分,12
406,棕腹林鸲雄性成体,棕腹林鸲,雄性,成体,93
407,棕腹蓝仙鹟成体,棕腹蓝仙鹟,无法区分,成体,15
408,棕腹蓝仙鹟雄性成体,棕腹蓝仙鹟,雄性,成体,15
409,棕腹蓝仙鹟雌性成体,棕腹蓝仙鹟,雌性,成体,12
410,棕颈钩嘴鹛成体,棕颈钩嘴鹛,无法区分,成体,1677
411,棕颈钩嘴鹛,棕颈钩嘴鹛,无法区分,无法区分,129
412,棕颈雪雀成体,棕颈雪雀,无法区分,成体,111
413,椰子狸亚成体,椰子狸,无法区分,亚成体,6
414,椰子狸成体,椰子狸,无法区分,成体,231
415,椰子狸,椰子狸,无法区分,无法区分,354
416,楔尾绿鸠成体,楔尾绿鸠,无法区分,成体,36
417,楔尾绿鸠雄性成体,楔尾绿鸠,雄性,成体,33
418,橙头地鸫亚成体,橙头地鸫,无法区分,亚成体,9
419,橙头地鸫成体,橙头地鸫,无法区分,成体,618
420,橙头地鸫,橙头地鸫,无法区分,无法区分,21
421,橙头地鸫雄性成体,橙头地鸫,雄性,成体,261
422,橙头地鸫雌性成体,橙头地鸫,雌性,成体,198
423,橙翅噪鹛亚成体,橙翅噪鹛,无法区分,亚成体,6
424,橙翅噪鹛成体,橙翅噪鹛,无法区分,成体,3270
425,橙翅噪鹛,橙翅噪鹛,无法区分,无法区分,519
426,橙翅噪鹛雄性成体,橙翅噪鹛,雄性,成体,27
427,橙翅噪鹛雌性亚成体,橙翅噪鹛,雌性,亚成体,6
428,橙翅噪鹛雌性成体,橙翅噪鹛,雌性,成体,105
429,橙胸咬鹃成体,橙胸咬鹃,无法区分,成体,24
430,橙胸姬鹟成体,橙胸姬鹟,无法区分,成体,18
431,橙胸姬鹟雌性成体,橙胸姬鹟,雌性,成体,9
432,橙腹叶鹎成体,橙腹叶鹎,无法区分,成体,333
433,橙腹叶鹎雄性成体,橙腹叶鹎,雄性,成体,204
434,橙腹叶鹎雌性成体,橙腹叶鹎,雌性,成体,288
435,橙腹长吻松鼠成体,橙腹长吻松鼠,无法区分,成体,9
436,毛冠鹿亚成体,毛冠鹿,无法区分,亚成体,1080
437,毛冠鹿幼体,毛冠鹿,无法区分,幼体,360
438,毛冠鹿成体,毛冠鹿,无法区分,成体,51447
439,毛冠鹿,毛冠鹿,无法区分,无法区分,2043
440,毛冠鹿雄性亚成体,毛冠鹿,雄性,亚成体,39
441,毛冠鹿雄性成体,毛冠鹿,雄性,成体,4755
442,毛冠鹿雄性,毛冠鹿,雄性,无法区分,6
443,毛冠鹿雌性亚成体,毛冠鹿,雌性,亚成体,114
444,毛冠鹿雌性成体,毛冠鹿,雌性,成体,10485
445,毛冠鹿雌性,毛冠鹿,雌性,无法区分,30
446,水牛亚成体,水牛,无法区分,亚成体,39
447,水牛成体,水牛,无法区分,成体,21021
448,水牛,水牛,无法区分,无法区分,33
449,水牛雄性成体,水牛,雄性,成体,6
450,水牛雌性成体,水牛,雌性,成体,24
451,水牛草成体,水牛草,无法区分,成体,6
452,水鹿亚成体,水鹿,无法区分,亚成体,51
453,水鹿幼体,水鹿,无法区分,幼体,81
454,水鹿成体,水鹿,无法区分,成体,1794
455,水鹿,水鹿,无法区分,无法区分,9
456,水鹿雄性亚成体,水鹿,雄性,亚成体,45
457,水鹿雄性成体,水鹿,雄性,成体,1578
458,水鹿雌性亚成体,水鹿,雌性,亚成体,150
459,水鹿雌性成体,水鹿,雌性,成体,3555
460,池鹭雄性成体,池鹭,雄性,成体,75
461,池鹭雌性成体,池鹭,雌性,成体,6
462,沙狐成体,沙狐,无法区分,成体,69
463,沙色朱雀成体,沙色朱雀,无法区分,成体,6
464,沼泽山雀成体,沼泽山雀,无法区分,成体,27
465,海南孔雀雉成体,海南孔雀雉,无法区分,成体,12
466,海南孔雀雉,海南孔雀雉,无法区分,无法区分,57
