ID,标签,物种,性别,年龄,数量
1,三宝鸟成体,三宝鸟,无法区分,成体,210
2,丘鹬成体,丘鹬,无法区分,成体,387
3,丘鹬,丘鹬,无法区分,无法区分,18
4,丛林小鼠成体,丛林小鼠,无法区分,成体,135
5,丛林猫成体,丛林猫,无法区分,成体,12
6,丛林鼠成体,丛林鼠,无法区分,成体,9
7,东北兔成体,东北兔,无法区分,成体,669
8,东北刺猬成体,东北刺猬,无法区分,成体,579
9,东北刺猬,东北刺猬,无法区分,无法区分,252
10,东北梅花鹿雌性成体,东北梅花鹿,雌性,成体,6
11,东北鼢鼠成体,东北鼢鼠,无法区分,成体,153
12,东方田鼠成体,东方田鼠,无法区分,成体,12
13,中华仙鹟成体,中华仙鹟,无法区分,成体,111
14,中华仙鹟雄性成体,中华仙鹟,雄性,成体,6
15,中华斑羚亚成体,中华斑羚,无法区分,亚成体,6819
16,中华斑羚幼体,中华斑羚,无法区分,幼体,714
17,中华斑羚成体,中华斑羚,无法区分,成体,98343
18,中华斑羚,中华斑羚,无法区分,无法区分,12960
19,中华斑羚雄性亚成体,中华斑羚,雄性,亚成体,681
20,中华斑羚雄性成体,中华斑羚,雄性,成体,9339
21,中华斑羚雄性,中华斑羚,雄性,无法区分,69
22,中华斑羚雌性亚成体,中华斑羚,雌性,亚成体,255
23,中华斑羚雌性成体,中华斑羚,雌性,成体,2922
24,中华斑羚雌性,中华斑羚,雌性,无法区分,51
25,中华竹鼠成体,中华竹鼠,无法区分,成体,144
26,中华鬣羚亚成体,中华鬣羚,无法区分,亚成体,261
27,中华鬣羚幼体,中华鬣羚,无法区分,幼体,39
28,中华鬣羚成体,中华鬣羚,无法区分,成体,23805
29,中华鬣羚,中华鬣羚,无法区分,无法区分,3381
30,中华鬣羚雄性成体,中华鬣羚,雄性,成体,1425
31,中华鬣羚雄性,中华鬣羚,雄性,无法区分,12
32,中华鬣羚雌性成体,中华鬣羚,雌性,成体,81
33,中华鹧鸪成体,中华鹧鸪,无法区分,成体,15
34,中华鹧鸪雌性成体,中华鹧鸪,雌性,成体,6
35,中国豪猪成体,中国豪猪,无法区分,成体,24
36,中国豪猪,中国豪猪,无法区分,无法区分,36
37,丽色奇鹛成体,丽色奇鹛,无法区分,成体,9
38,乌梢蛇成体,乌梢蛇,无法区分,成体,9
39,乌灰鸫成体,乌灰鸫,无法区分,成体,12
40,乌灰鸫,乌灰鸫,无法区分,无法区分,15
41,乌灰鸫雄性亚成体,乌灰鸫,雄性,亚成体,9
42,乌灰鸫雄性成体,乌灰鸫,雄性,成体,18
43,乌灰鸫雄性,乌灰鸫,雄性,无法区分,12
